Packet_Size,Packet_Count,Duration,Source_Port,Destination_Port,Protocol,TCP_Flags,Window_Size,TTL,Flow_Duration,Total_Fwd_Packets,Total_Backward_Packets,Fwd_Packet_Length_Max,Bwd_Packet_Length_Max,Flow_Bytes_s,Flow_Packets_s,Packet_Length_Mean,Packet_Length_Std
1398,996,442.44965175104085,55390,4444,0,25,33290,42,844.2530901978677,200,173,1317,1403,5838.144201002444,152.734038153512,1336,31.53853860479536
739,90,266.051142407308,50411,22,3,25,31746,122,232.65572415141838,7,42,982,900,1168.6050402922729,32.172441764202226,615,80.3826989220295
1476,714,1113.1681181329886,6972,8888,1,24,57480,111,2582.6407097937904,99,81,1409,1496,7900.1193301292105,81.27006119755451,1288,4.427389615819827
526,114,100.39165969310048,49840,22,0,16,56725,65,385.61035506828154,83,27,817,608,2184.395862817499,48.637072692434735,554,32.05450526487589
143,7131,2.0146873666830643,32896,443,0,2,1198,41,1.4464520525035547,6417,3,163,10,353950.698154241,3539.5069815424104,137,15.87237401165841
146,9628,12.199846837551902,1523,53,0,2,743,51,3.678265056095804,8665,3,113,0,78919.02355990573,789.1902355990572,97,4.592373991182265
742,361,668.5958881857646,53355,8080,0,24,21568,48,850.0857311693205,80,57,819,870,1833.5970270349399,46.53683941359975,937,9.33568522770928
64,28,155.59506242411874,17058,22,0,2,3439,110,169.143658030617,8,1,64,34,45.97815503181725,1.133649275339791,64,0.23616677675156825
64,28,243.32220738294862,36877,21,0,2,3896,72,266.87225504926823,3,1,64,10,10.66448167537268,0.7250108559917118,64,0.9510471973058213
154,5845,23.035928643811175,44305,443,0,2,910,52,2.721209274415168,5260,4,130,5,25373.407299428825,253.73407299428823,70,2.0925152847440374
821,59,186.07071322279336,58568,443,3,17,50462,87,458.6098125052801,73,67,1043,1038,551.8486854929461,16.51897793517662,400,21.93088335283213
902,108,498.1590910524027,54311,443,0,24,31255,89,1548.0955289163649,48,29,818,740,8469.983455573814,32.035029076645365,919,3.097232649457139
968,355,604.8451315247203,4293,8080,0,24,21757,91,418.6360144878333,157,54,790,970,2162.9101427362557,26.294470575963565,692,23.221706064827785
194,14791,2.6859144964059203,57596,80,0,2,551,42,2.6651897700098184,13311,0,115,19,550687.6715469593,5506.876715469593,128,1.3481336930241352
64,19,122.97388291449954,14116,25,0,2,3475,103,317.5456619000142,11,1,64,27,45.778725579751494,1.117315506143485,64,3.6077490728124193
103,1398,1656.777743008062,62061,3306,0,24,14615,50,1942.2257878984115,2023,445,155,112,1976.5694762185037,132.6229303732208,117,0.6026863482331242
1380,348,590.7604277446657,15181,5555,0,24,13901,42,2700.8083506726707,165,103,1408,1402,21997.51944348453,169.23471737498448,1376,24.304458740867823
1315,930,585.1730656515258,11431,6666,0,25,55261,127,1426.4609381154523,411,188,1404,1499,7545.294739950661,83.09731314935846,1430,12.86312081601507
148,8409,6.376604974965996,42601,443,0,2,1370,40,8.982754072657016,7568,1,118,15,131872.68198379877,1318.7268198379877,186,3.1962928961458377
1408,749,1321.772711464447,32518,7777,1,25,63721,63,509.27894281951046,457,176,1384,1400,4017.1778649593352,103.57457891382809,1276,44.051672618388785
522,131,318.16886846237804,61082,53,0,22,46371,87,729.5823173579237,75,13,869,520,2283.001757684792,10.676379881616075,872,52.41971797036303
1413,701,1441.7933807047568,53422,6666,1,25,56409,40,1872.876005059425,164,85,1376,1370,19304.95091436723,29.7830788939852,1205,3.8342642604769717
1378,587,1265.63529514436,13341,6666,1,24,30447,66,403.2724345313991,404,98,1407,1477,15982.02713921464,193.38619662175904,1228,55.64015189744024
81,12690,2.060920828094565,29510,443,0,2,781,45,3.055344611914285,11421,2,151,14,615744.177408921,6157.4417740892095,41,5.206928970474053
88,1596,1804.4596358195067,60948,3306,0,24,10117,85,1947.5918444295644,2384,375,115,87,2292.215413309851,71.63391069839213,115,5.494361047404586
1467,103,1829.7957920825643,21020,8888,0,24,25750,40,635.41340010663,612,38,1308,1497,7969.073414928889,49.07769774319725,1201,23.527601039595037
761,342,341.7077603550755,15246,80,0,24,17377,82,1133.7341940588997,231,16,812,713,3806.755694333866,313.07040647371474,837,7.532053859503504
884,42,729.4438973629481,57508,80,0,23,59898,113,335.37748071307374,47,14,765,561,858.8210680481793,9.679997459430746,886,152.84935349053575
192,14740,8.11961410925143,42137,53,0,2,1770,38,7.291720474255516,13266,1,132,18,181535.72080728997,1815.3572080728998,128,5.026717296660266
144,9716,1.6611118043291508,40721,53,0,2,1417,32,4.946429139463941,8744,0,78,14,584909.4549011324,5849.094549011324,187,36.76874181221572
